Neighbourhood,Neighbourhood Id,Combined Indicators,   Chinese,   South Asian,   Black,   Filipino,   Latin American,   Southeast Asian,   Arab,   West Asian,   Korean,   Japanese,  White,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts
Lawrence Park North,105,N/A,830,405,160,175,55,75,0,75,235,60,12235,2,33,4,56,13,27,6
Humewood-Cedarvale,106,N/A,330,275,835,1405,505,75,65,40,145,95,9980,18,72,5,26,4,10,4
Oakwood Village,107,N/A,740,615,2690,2155,1700,160,65,85,205,155,11765,37,165,14,56,18,16,1
Briar Hill-Belgravia,108,N/A,460,485,1540,2535,770,150,50,110,175,35,7810,33,115,17,36,25,29,3
Caledonia-Fairbank,109,N/A,105,265,710,885,990,250,0,40,0,50,6185,16,94,17,28,6,8,1
Keelesdale-Eglinton West,110,N/A,160,770,1425,730,860,560,0,0,0,25,5700,24,125,15,58,39,21,1
Rockcliffe-Smythe,111,N/A,655,1005,2650,665,2580,1545,35,35,165,75,11975,50,182,29,68,31,39,5
Beechborough-Greenbrook,112,N/A,35,615,1780,220,445,130,20,15,30,0,2975,38,116,12,26,19,6,4
Weston,113,N/A,175,445,1610,230,1005,1020,90,0,50,0,7030,89,278,35,45,66,32,8
Lambton Baby Point,114,N/A,140,90,1025,25,230,35,10,40,0,0,6110,8,28,2,20,12,8,1
Mount Dennis,115,N/A,310,660,3570,700,1575,405,20,75,210,0,4585,48,135,16,53,33,14,2
Steeles,116,N/A,17420,1820,560,715,60,255,340,145,100,85,2655,5,51,7,82,26,30,4
L'Amoreaux,117,N/A,16480,8315,3290,1625,265,465,830,1030,365,120,10275,35,116,8,112,67,21,7
Tam O'Shanter-Sullivan,118,N/A,9450,4795,1350,1350,300,220,455,745,185,90,7380,27,112,18,81,37,12,5
Wexford/Maryvale,119,N/A,1550,3640,1500,3335,500,165,625,355,275,90,13920,60,307,23,132,49,41,8
Clairlea-Birchmount,120,N/A,2010,4730,2145,2640,300,280,185,270,50,70,10720,38,285,24,116,44,66,8
